Study,Species,Age\Sex\Size_of_Predator,Sample_size,Sample_type,State\Province,Subregion,Region_code,Year_Start,Year_End,Months,Reference,Diet_data,Age\Size_of_prey,N_prey_items ,Count_type_(FO=frequency_of_occurrence\SSFO=split_sample_frequency_of_occurence\V=volume\M=model\O=feeding event\C=number_count),Percent_salmon,95_Percent_CIs,Percent_chinook ,95_ Percent_CIs,Anecdotal_chinook_abundance(if_species_mentioned\chinook_column_blank),Citation,URL,Comment,Double_count_(RefStudyNum(\s) 
24,Steller Sea lion,M\ F,28,stomach sample,Alaska,Gulf of Alaska (Kodiak Island),G,1976,1978,6--7,Merrick et al. 1997,stomach sample content,,,FO,17.9,,,,,Merrick  R. L.  Chumbley  M. K.  and Byrd  G. V. (1997). Diet diversity of Steller sea lions (Eumetopias jubatus) and their population decline in Alaska: a potential relationship. Canadian Journal of Fisheries and Aquatic Sciences  54(6)  1342-1348.,http://www.researchgate.net/profile/Richard_Merrick/publication/242120609_Diet_diversity_of_Steller_sea_lions_(Eumetopias_jubatus)_and_their_population_decline_in_Alaska_a_potential_relationship/links/54848a090cf2437065c9c2af.pdf,Table 2. Proportion of Steller sea lion stomach samples and scats containing seven prey categories for summer Kodiak Island area collections made during 1976-1978\ 1985-1986\ and 1990-1993.,
24,Steller Sea lion,M\ F,20,stomach sample,Alaska,Gulf of Alaska (Kodiak Island),G,1985,1986,6--7,Merrick et al. 1997,stomach sample content,,,FO,5.0,,,,,Merrick  R. L.  Chumbley  M. K.  and Byrd  G. V. (1997). Diet diversity of Steller sea lions (Eumetopias jubatus) and their population decline in Alaska: a potential relationship. Canadian Journal of Fisheries and Aquatic Sciences  54(6)  1342-1348.,http://www.researchgate.net/profile/Richard_Merrick/publication/242120609_Diet_diversity_of_Steller_sea_lions_(Eumetopias_jubatus)_and_their_population_decline_in_Alaska_a_potential_relationship/links/54848a090cf2437065c9c2af.pdf,Table 2. Proportion of Steller sea lion stomach samples and scats containing seven prey categories for summer Kodiak Island area collections made during 1976-1978\ 1985-1986\ and 1990-1993.,
25,Steller Sea lion,M\ F,40,scat sample,Alaska,Eastern Aleutian Islands,H,1985,1989,summer,Merrick et al. 1997,scat sample,,,FO,8.3,,,,,Merrick  R. L.  Chumbley  M. K.  and Byrd  G. V. (1997). Diet diversity of Steller sea lions (Eumetopias jubatus) and their population decline in Alaska: a potential relationship. Canadian Journal of Fisheries and Aquatic Sciences  54(6)  1342-1348.,http://www.researchgate.net/profile/Richard_Merrick/publication/242120609_Diet_diversity_of_Steller_sea_lions_(Eumetopias_jubatus)_and_their_population_decline_in_Alaska_a_potential_relationship/links/54848a090cf2437065c9c2af.pdf,In text: temporal differences…Materials and Methods (p1344) and Results (p1346),
25,Steller Sea lion,M\ F,54,scat sample,Alaska,Gulf of Alaska (Kodiak Island),G,1990,1993,6--7,Merrick et al. 1997,scat sample,,,FO,18.5,,,,,Merrick  R. L.  Chumbley  M. K.  and Byrd  G. V. (1997). Diet diversity of Steller sea lions (Eumetopias jubatus) and their population decline in Alaska: a potential relationship. Canadian Journal of Fisheries and Aquatic Sciences  54(6)  1342-1348.,http://www.researchgate.net/profile/Richard_Merrick/publication/242120609_Diet_diversity_of_Steller_sea_lions_(Eumetopias_jubatus)_and_their_population_decline_in_Alaska_a_potential_relationship/links/54848a090cf2437065c9c2af.pdf,Table 2. Proportion of Steller sea lion stomach samples and scats containing seven prey categories for summer Kodiak Island area collections made during 1976-1978\ 1985-1986\ and 1990-1993.,
25,Steller Sea lion,M\ F,52,scat sample,Alaska,Eastern Aleutian Islands,H,1990,1993,summer,Merrick et al. 1997,scat sample,,,FO,6.1,,,,,Merrick  R. L.  Chumbley  M. K.  and Byrd  G. V. (1997). Diet diversity of Steller sea lions (Eumetopias jubatus) and their population decline in Alaska: a potential relationship. Canadian Journal of Fisheries and Aquatic Sciences  54(6)  1342-1348.,http://www.researchgate.net/profile/Richard_Merrick/publication/242120609_Diet_diversity_of_Steller_sea_lions_(Eumetopias_jubatus)_and_their_population_decline_in_Alaska_a_potential_relationship/links/54848a090cf2437065c9c2af.pdf,In text: temporal differences…Materials and Methods (p1344) and Results (p1346),
26,Harbor Seal,M\ F,50,gastrointestinal tract,Oregon,Columbia River,C,1980,1982,year,Beach et al. 1985,scat sample,,,FO,12.0,,,,Chinook may have been consumed more than reported because the study identified fish species using otoliths  and chinook may have been decapitated before being consumed due to their larger head size (an examination of  pinniped bites to gillnetted chinook found only 24 percent of bites were to the head).,Beach  R. J.  A. C. Geiger  S. J. Jeffries  S. D. Treacy  and B. L. Troutman. 1985. Marine mammals and their interactions with fisheries of the Columbia River and adjacent waters  1980_1982. NMFS-AFSC Processed Rep. 85_04  316 p. Alaska Fisheries Science Center  Natl. Mar. Fish. Serv.  NOAA  7600 Sand Point Way NE  Seattle  WA 98115.,http://www.afsc.noaa.gov/Publications/ProcRpt/NWAFCPR85-04.pdf,Table 36- I think this is the CR but it's not crystal clear in the paper.,30
27,Harbor Seal,M\ F,38,scat sample,Oregon,Tillamook bay,B,1980,1982,year,Beach et al. 1985,scat sample,,,FO,2.0,,1.0,,Chinook may have been consumed more than reported because the study identified fish species using otoliths  and chinook may have been decapitated before being consumed due to their larger head size (an examination of  pinniped bites to gillnetted chinook found only 24 percent of bites were to the head).,Beach  R. J.  A. C. Geiger  S. J. Jeffries  S. D. Treacy  and B. L. Troutman. 1985. Marine mammals and their interactions with fisheries of the Columbia River and adjacent waters  1980_1982. NMFS-AFSC Processed Rep. 85_04  316 p. Alaska Fisheries Science Center  Natl. Mar. Fish. Serv.  NOAA  7600 Sand Point Way NE  Seattle  WA 98115.,http://www.afsc.noaa.gov/Publications/ProcRpt/NWAFCPR85-04.pdf,Appendix D3- the percent salmon in this collection of samples is conservative and may be higher if Chinook samples occurred in separate scats than other salmonids,29
27,Harbor Seal,M\ F,436,scat sample,Oregon,Columbia river,C,1980,1982,year,Beach et al. 1985,scat sample,,,FO,3.0,,,,Chinook may have been consumed more than reported because the study identified fish species using otoliths  and chinook may have been decapitated before being consumed due to their larger head size (an examination of  pinniped bites to gillnetted chinook found only 24 percent of bites were to the head).,Beach  R. J.  A. C. Geiger  S. J. Jeffries  S. D. Treacy  and B. L. Troutman. 1985. Marine mammals and their interactions with fisheries of the Columbia River and adjacent waters  1980_1982. NMFS-AFSC Processed Rep. 85_04  316 p. Alaska Fisheries Science Center  Natl. Mar. Fish. Serv.  NOAA  7600 Sand Point Way NE  Seattle  WA 98115.,http://www.afsc.noaa.gov/Publications/ProcRpt/NWAFCPR85-04.pdf,Appendix D3- the percent salmon in this collection of samples is conservative and may be higher if Chinook samples occurred in separate scats than other salmonids,28
27,Harbor Seal,M\ F,403,scat sample,Washington,Grays Harbor,C,1980,1982,year,Beach et al. 1985,scat sample,,,FO,11.0,,1.0,,Chinook may have been consumed more than reported because the study identified fish species using otoliths  and chinook may have been decapitated before being consumed due to their larger head size (an examination of  pinniped bites to gillnetted chinook found only 24 percent of bites were to the head).,Beach  R. J.  A. C. Geiger  S. J. Jeffries  S. D. Treacy  and B. L. Troutman. 1985. Marine mammals and their interactions with fisheries of the Columbia River and adjacent waters  1980_1982. NMFS-AFSC Processed Rep. 85_04  316 p. Alaska Fisheries Science Center  Natl. Mar. Fish. Serv.  NOAA  7600 Sand Point Way NE  Seattle  WA 98115.,http://www.afsc.noaa.gov/Publications/ProcRpt/NWAFCPR85-04.pdf,Appendix D3- the percent salmon in this collection of samples is conservative and may be higher if Chinook samples occurred in separate scats than other salmonids,28\29
27,Harbor Seal,M\ F,211,scat sample,Washington,Willapa Bay,C,1980,1982,year,Beach et al. 1985,scat sample,,,FO,9.0,,2.0,,Chinook may have been consumed more than reported because the study identified fish species using otoliths  and chinook may have been decapitated before being consumed due to their larger head size (an examination of  pinniped bites to gillnetted chinook found only 24 percent of bites were to the head).,Beach  R. J.  A. C. Geiger  S. J. Jeffries  S. D. Treacy  and B. L. Troutman. 1985. Marine mammals and their interactions with fisheries of the Columbia River and adjacent waters  1980_1982. NMFS-AFSC Processed Rep. 85_04  316 p. Alaska Fisheries Science Center  Natl. Mar. Fish. Serv.  NOAA  7600 Sand Point Way NE  Seattle  WA 98115.,http://www.afsc.noaa.gov/Publications/ProcRpt/NWAFCPR85-04.pdf,Appendix D3- the percent salmon in this collection of samples is conservative and may be higher if Chinook samples occurred in separate scats than other salmonids,29
28,Harbor Seal,M\ F,436,scat sample,Oregon,Columbia River,C,1980,1982,Year (salmonids only in 4\8),Beach et al. 1985,scat\otoliths\ bones\ teeth\ lenses\cartilaginous parts\ beaks,,,FO,1.0,,,,,National Marine Fisheries Service (NMFS). 1997. Investigation of Scientific Information on the Impacts of California Sea Lions and Pacific Harbor Seals on Salmonids and on the Coastal Ecosystems of Washington  Oregon  and California. U.S. Dep. Commer.  NOAA Tech. Memo. NMFS-NWFSC-28  172 p.  Data: Beach  R. J.  A. C. Geiger  S. J. Jeffries  S. D. Treacy  and B. L. Troutman. 1985. Marine mammals and their interactions with fisheries of the Columbia River and adjacent waters  1980_1982. NMFS-AFSC Processed Rep. 85_04  316 p. Alaska Fisheries Science Center  Natl. Mar. Fish. Serv.  NOAA  7600 Sand Point Way NE  Seattle  WA 98115.,http://www.nwfsc.noaa.gov/publications/scipubs/techmemos/tm28/appg.htm,Appendix G Summary of Food Habit Studies of Pacific Harbor Seals in Washington\ Oregon\ and California Since 1970. Prey species noted are those which occurred in more than 10percent of samples (except salmonids).,27\29
28,Harbor Seal,M\ F,38,scat sample,Oregon,Tillamook Bay,B,1981,1981,9--10,Beach et al. 1985,scat\otoliths\ teeth\ cartilaginous parts\ beaks,,,FO,8.0,,,,,National Marine Fisheries Service (NMFS). 1997. Investigation of Scientific Information on the Impacts of California Sea Lions and Pacific Harbor Seals on Salmonids and on the Coastal Ecosystems of Washington  Oregon  and California. U.S. Dep. Commer.  NOAA Tech. Memo. NMFS-NWFSC-28  172 p.  Data: Beach  R. J.  A. C. Geiger  S. J. Jeffries  S. D. Treacy  and B. L. Troutman. 1985. Marine mammals and their interactions with fisheries of the Columbia River and adjacent waters  1980_1982. NMFS-AFSC Processed Rep. 85_04  316 p. Alaska Fisheries Science Center  Natl. Mar. Fish. Serv.  NOAA  7600 Sand Point Way NE  Seattle  WA 98115.,http://www.nwfsc.noaa.gov/publications/scipubs/techmemos/tm28/appg.htm,Appendix G Summary of Food Habit Studies of Pacific Harbor Seals in Washington\ Oregon\ and California Since 1970. Prey species noted are those which occurred in more than 10percent of samples (except salmonids).,29
28,Harbor Seal,M\ F,403,scat sample,Washington,Grays Harbor,C,1980,1982,Year (salmonids only in 6\7\8),Beach et al. 1985,scat\otolith,,,FO,3.0, ,1.0,,,National Marine Fisheries Service (NMFS). 1997. Investigation of Scientific Information on the Impacts of California Sea Lions and Pacific Harbor Seals on Salmonids and on the Coastal Ecosystems of Washington  Oregon  and California. U.S. Dep. Commer.  NOAA Tech. Memo. NMFS-NWFSC-28  172 p.  Data: Beach  R. J.  A. C. Geiger  S. J. Jeffries  S. D. Treacy  and B. L. Troutman. 1985. Marine mammals and their interactions with fisheries of the Columbia River and adjacent waters  1980_1982. NMFS-AFSC Processed Rep. 85_04  316 p. Alaska Fisheries Science Center  Natl. Mar. Fish. Serv.  NOAA  7600 Sand Point Way NE  Seattle  WA 98115.,http://www.nwfsc.noaa.gov/publications/scipubs/techmemos/tm28/appg.htm,Appendix G Summary of Food Habit Studies of Pacific Harbor Seals in Washington\ Oregon\ and California Since 1970. Prey species noted are those which occurred in more than 10percent of samples (except salmonids).,27
29,Harbor Seal,M\ F,69,scat sample,Oregon,Columbia river,C,1980,1982,8,Beach et al. 1985,scat sample,,,FO,1.4,,,,Chinook may have been consumed more than reported because the study identified fish species using otoliths  and chinook may have been decapitated before being consumed due to their larger head size (an examination of  pinniped bites to gillnetted chinook found only 24 percent of bites were to the head).,Beach  R. J.  A. C. Geiger  S. J. Jeffries  S. D. Treacy  and B. L. Troutman. 1985. Marine mammals and their interactions with fisheries of the Columbia River and adjacent waters  1980_1982. NMFS-AFSC Processed Rep. 85_04  316 p. Alaska Fisheries Science Center  Natl. Mar. Fish. Serv.  NOAA  7600 Sand Point Way NE  Seattle  WA 98115.,http://www.afsc.noaa.gov/Publications/ProcRpt/NWAFCPR85-04.pdf,Fig. 43,27
29,Harbor Seal,M\ F,25,scat sample,Oregon,Tillamook bay,B,1981,1981,9,Beach et al. 1985,scat sample,,,FO,8.0,,4.0,,Chinook may have been consumed more than reported because the study identified fish species using otoliths  and chinook may have been decapitated before being consumed due to their larger head size (an examination of  pinniped bites to gillnetted chinook found only 24 percent of bites were to the head).,Beach  R. J.  A. C. Geiger  S. J. Jeffries  S. D. Treacy  and B. L. Troutman. 1985. Marine mammals and their interactions with fisheries of the Columbia River and adjacent waters  1980_1982. NMFS-AFSC Processed Rep. 85_04  316 p. Alaska Fisheries Science Center  Natl. Mar. Fish. Serv.  NOAA  7600 Sand Point Way NE  Seattle  WA 98115.,http://www.afsc.noaa.gov/Publications/ProcRpt/NWAFCPR85-04.pdf,Fig. 44- the percent salmon in this collection of samples is conservative and may be higher if Chinook samples occurred in separate scats than other salmonids (i.e.  8percent assumes all scats containing chinook also contain other salmonids).,28
29,Harbor Seal,M\ F,28,scat sample,Oregon,Columbia river,C,1981,1981,4,Beach et al. 1985,scat sample,,,FO,3.6,,,,Chinook may have been consumed more than reported because the study identified fish species using otoliths  and chinook may have been decapitated before being consumed due to their larger head size (an examination of  pinniped bites to gillnetted chinook found only 24 percent of bites were to the head).,Beach  R. J.  A. C. Geiger  S. J. Jeffries  S. D. Treacy  and B. L. Troutman. 1985. Marine mammals and their interactions with fisheries of the Columbia River and adjacent waters  1980_1982. NMFS-AFSC Processed Rep. 85_04  316 p. Alaska Fisheries Science Center  Natl. Mar. Fish. Serv.  NOAA  7600 Sand Point Way NE  Seattle  WA 98115.,http://www.afsc.noaa.gov/Publications/ProcRpt/NWAFCPR85-04.pdf,Fig. 43,28
29,Harbor Seal,M\ F,32,scat sample,Oregon,Columbia river,C,1981,1981,8,Beach et al. 1985,scat sample,,,FO,3.1,,,,Chinook may have been consumed more than reported because the study identified fish species using otoliths  and chinook may have been decapitated before being consumed due to their larger head size (an examination of  pinniped bites to gillnetted chinook found only 24 percent of bites were to the head).,Beach  R. J.  A. C. Geiger  S. J. Jeffries  S. D. Treacy  and B. L. Troutman. 1985. Marine mammals and their interactions with fisheries of the Columbia River and adjacent waters  1980_1982. NMFS-AFSC Processed Rep. 85_04  316 p. Alaska Fisheries Science Center  Natl. Mar. Fish. Serv.  NOAA  7600 Sand Point Way NE  Seattle  WA 98115.,http://www.afsc.noaa.gov/Publications/ProcRpt/NWAFCPR85-04.pdf,Fig. 43,28
29,Harbor Seal,M\ F,5,scat sample,Oregon,Columbia river,C,1982,1982,4,Beach et al. 1985,scat sample,,,FO,20.0,,,,Chinook may have been consumed more than reported because the study identified fish species using otoliths  and chinook may have been decapitated before being consumed due to their larger head size (an examination of  pinniped bites to gillnetted chinook found only 24 percent of bites were to the head).,Beach  R. J.  A. C. Geiger  S. J. Jeffries  S. D. Treacy  and B. L. Troutman. 1985. Marine mammals and their interactions with fisheries of the Columbia River and adjacent waters  1980_1982. NMFS-AFSC Processed Rep. 85_04  316 p. Alaska Fisheries Science Center  Natl. Mar. Fish. Serv.  NOAA  7600 Sand Point Way NE  Seattle  WA 98115.,http://www.afsc.noaa.gov/Publications/ProcRpt/NWAFCPR85-04.pdf,Fig. 43,28
29,Harbor Seal,M\ F,80,scat sample,Washington,Grays Harbor,C,1980,1980,7,Beach et al. 1985,scat sample,,,FO,2.5,,,,Chinook may have been consumed more than reported because the study identified fish species using otoliths  and chinook may have been decapitated before being consumed due to their larger head size (an examination of  pinniped bites to gillnetted chinook found only 24 percent of bites were to the head).,Beach  R. J.  A. C. Geiger  S. J. Jeffries  S. D. Treacy  and B. L. Troutman. 1985. Marine mammals and their interactions with fisheries of the Columbia River and adjacent waters  1980_1982. NMFS-AFSC Processed Rep. 85_04  316 p. Alaska Fisheries Science Center  Natl. Mar. Fish. Serv.  NOAA  7600 Sand Point Way NE  Seattle  WA 98115.,http://www.afsc.noaa.gov/Publications/ProcRpt/NWAFCPR85-04.pdf,Fig. 39,27
29,Harbor Seal,M\ F,26,scat sample,Washington,Willapa Bay,C,1980,1980,7,Beach et al. 1985,scat sample,,,FO,3.8,,,,Chinook may have been consumed more than reported because the study identified fish species using otoliths  and chinook may have been decapitated before being consumed due to their larger head size (an examination of  pinniped bites to gillnetted chinook found only 24 percent of bites were to the head).,Beach  R. J.  A. C. Geiger  S. J. Jeffries  S. D. Treacy  and B. L. Troutman. 1985. Marine mammals and their interactions with fisheries of the Columbia River and adjacent waters  1980_1982. NMFS-AFSC Processed Rep. 85_04  316 p. Alaska Fisheries Science Center  Natl. Mar. Fish. Serv.  NOAA  7600 Sand Point Way NE  Seattle  WA 98115.,http://www.afsc.noaa.gov/Publications/ProcRpt/NWAFCPR85-04.pdf,Fig. 42,27
29,Harbor Seal,M\ F,65,scat sample,Washington,Willapa Bay,C,1980,1980,8,Beach et al. 1985,scat sample,,,FO,10.8,,3.1,,Chinook may have been consumed more than reported because the study identified fish species using otoliths  and chinook may have been decapitated before being consumed due to their larger head size (an examination of  pinniped bites to gillnetted chinook found only 24 percent of bites were to the head).,Beach  R. J.  A. C. Geiger  S. J. Jeffries  S. D. Treacy  and B. L. Troutman. 1985. Marine mammals and their interactions with fisheries of the Columbia River and adjacent waters  1980_1982. NMFS-AFSC Processed Rep. 85_04  316 p. Alaska Fisheries Science Center  Natl. Mar. Fish. Serv.  NOAA  7600 Sand Point Way NE  Seattle  WA 98115.,http://www.afsc.noaa.gov/Publications/ProcRpt/NWAFCPR85-04.pdf,Fig. 42,27
29,Harbor Seal,M\ F,210,scat sample,Washington,Willapa Bay,C,1980,1982,3\5\6\7\8\9\11\12,Beach et al. 1985,scat sample,,,FO,3.6,,,,Chinook may have been consumed more than reported because the study identified fish species using otoliths  and chinook may have been decapitated before being consumed due to their larger head size (an examination of  pinniped bites to gillnetted chinook found only 24 percent of bites were to the head).,Beach  R. J.  A. C. Geiger  S. J. Jeffries  S. D. Treacy  and B. L. Troutman. 1985. Marine mammals and their interactions with fisheries of the Columbia River and adjacent waters  1980_1982. NMFS-AFSC Processed Rep. 85_04  316 p. Alaska Fisheries Science Center  Natl. Mar. Fish. Serv.  NOAA  7600 Sand Point Way NE  Seattle  WA 98115.,http://www.afsc.noaa.gov/Publications/ProcRpt/NWAFCPR85-04.pdf,Fig. 40- all months combined.,27
29,Harbor Seal,M\ F,14,scat sample,Washington,Grays Harbor,C,1981,1981,7,Beach et al. 1985,scat sample,,,FO,14.3,,,,Chinook may have been consumed more than reported because the study identified fish species using otoliths  and chinook may have been decapitated before being consumed due to their larger head size (an examination of  pinniped bites to gillnetted chinook found only 24 percent of bites were to the head).,Beach  R. J.  A. C. Geiger  S. J. Jeffries  S. D. Treacy  and B. L. Troutman. 1985. Marine mammals and their interactions with fisheries of the Columbia River and adjacent waters  1980_1982. NMFS-AFSC Processed Rep. 85_04  316 p. Alaska Fisheries Science Center  Natl. Mar. Fish. Serv.  NOAA  7600 Sand Point Way NE  Seattle  WA 98115.,http://www.afsc.noaa.gov/Publications/ProcRpt/NWAFCPR85-04.pdf,Fig. 39,27
29,Harbor Seal,M\ F,15,scat sample,Washington,Grays Harbor,C,1981,1981,4,Beach et al. 1985,scat sample,,,FO,6.7,,6.7,,Chinook may have been consumed more than reported because the study identified fish species using otoliths  and chinook may have been decapitated before being consumed due to their larger head size (an examination of  pinniped bites to gillnetted chinook found only 24 percent of bites were to the head).,Beach  R. J.  A. C. Geiger  S. J. Jeffries  S. D. Treacy  and B. L. Troutman. 1985. Marine mammals and their interactions with fisheries of the Columbia River and adjacent waters  1980_1982. NMFS-AFSC Processed Rep. 85_04  316 p. Alaska Fisheries Science Center  Natl. Mar. Fish. Serv.  NOAA  7600 Sand Point Way NE  Seattle  WA 98115.,http://www.afsc.noaa.gov/Publications/ProcRpt/NWAFCPR85-04.pdf,Fig. 39,27
29,Harbor Seal,M\ F,75,scat sample,Washington,Grays Harbor,C,1981,1981,8,Beach et al. 1985,scat sample,,,FO,9.3,,,,Chinook may have been consumed more than reported because the study identified fish species using otoliths  and chinook may have been decapitated before being consumed due to their larger head size (an examination of  pinniped bites to gillnetted chinook found only 24 percent of bites were to the head).,Beach  R. J.  A. C. Geiger  S. J. Jeffries  S. D. Treacy  and B. L. Troutman. 1985. Marine mammals and their interactions with fisheries of the Columbia River and adjacent waters  1980_1982. NMFS-AFSC Processed Rep. 85_04  316 p. Alaska Fisheries Science Center  Natl. Mar. Fish. Serv.  NOAA  7600 Sand Point Way NE  Seattle  WA 98115.,http://www.afsc.noaa.gov/Publications/ProcRpt/NWAFCPR85-04.pdf,Fig. 39,27
30,Harbor Seal,M\ F,50,gastrointestinal tract,Oregon,Columbia River and adjacent estuaries,C,1980,1982,year,Beach et al. 1985,otoliths\ bones\ flesh\ scales,,,FO,12.0,,,,,National Marine Fisheries Service (NMFS). 1997. Investigation of Scientific Information on the Impacts of California Sea Lions and Pacific Harbor Seals on Salmonids and on the Coastal Ecosystems of Washington  Oregon  and California. U.S. Dep. Commer.  NOAA Tech. Memo. NMFS-NWFSC-28  172 p. DATA: Beach  R. J.  A. C. Geiger  S. J. Jeffries  S. D. Treacy  and B. L. Troutman. 1985. Marine mammals and their interactions with fisheries of the Columbia River and adjacent waters  1980_1982. NMFS-AFSC Processed Rep. 85_04  316 p. Alaska Fisheries Science Center  Natl. Mar. Fish. Serv.  NOAA  7600 Sand Point Way NE  Seattle  WA 98115.,http://www.nwfsc.noaa.gov/publications/scipubs/techmemos/tm28/appg.htm,Appendix G Summary of Food Habit Studies of Pacific Harbor Seals in Washington\ Oregon\ and California Since 1970. Prey species noted are those which occurred in more than 10percent of samples (except salmonids).,26
31,California Sea Lion,M\ F,18,gastrointestinal tract,Oregon,Columbia River,C,1991,1993,1--5\ 10 (1 sample),Brown et al. 1995,gastrointestinal tract,,,FO,28.0,,,,,National Marine Fisheries Service (NMFS). 1997. Investigation of Scientific Information on the Impacts of California Sea Lions and Pacific Harbor Seals on Salmonids and on the Coastal Ecosystems of Washington  Oregon  and California. U.S. Dep. Commer.  NOAA Tech. Memo. NMFS-NWFSC-28  172 p. DATA: Brown  R. F.  S. Riemer  and S.J. Jeffries. 1995. Food of pinnipeds collected during the Columbia River area salmon gillnet feeding event program  1991_1994. Oregon Dept. of Fish and Wildlife  Wildlife Diversity Program  Technical Report #95_6_01  16 p. (Available from Oregon Department of Fish and Wildlife  2501 SW First  Portland  OR 97201.),http://www.nwfsc.noaa.gov/publications/scipubs/techmemos/tm28/appf.htm,Appendix F Summary of food habit studies of California sea lions in Washington\ Oregon\ and California Since 1970. Prey species noted are those which occurred in more than 10percent of samples (except salmonids).,
32,California Sea Lion,M\ F,100,scat sample,Washington,Puget Sound (Everett),D,1986,1986,4,Gearin et al. 1988a,scat\ spewings\otoliths\ bones,,,FO,5.0,,,,,National Marine Fisheries Service (NMFS). 1997. Investigation of Scientific Information on the Impacts of California Sea Lions and Pacific Harbor Seals on Salmonids and on the Coastal Ecosystems of Washington  Oregon  and California. U.S. Dep. Commer.  NOAA Tech. Memo. NMFS-NWFSC-28  172 p. DATA: Gearin  P.  R. DeLong  and B. Ebberts. 1988a. Pinniped interactions with tribal steelhead and coho fisheries in Puget Sound. Unpubl. manuscr.  23 p. (Available from Alaska Fisheries Science Center  Natl. Mar. Fish. Serv  NOAA  7600 Sand Point Way NE  Seattle  WA 98115.),http://www.nwfsc.noaa.gov/publications/scipubs/techmemos/tm28/appf.htm,Appendix F Summary of food habit studies of California sea lions in Washington\ Oregon\ and California Since 1970. Prey species noted are those which occurred in more than 10percent of samples (except salmonids).,
32,California Sea Lion,M\ F,48,scat sample,Washington,Puget Sound (Everett),D,1987,1987,2--5,Gearin et al. 1988a,scat\ spewings\otoliths\ bones,,,FO,6.0,,,,,National Marine Fisheries Service (NMFS). 1997. Investigation of Scientific Information on the Impacts of California Sea Lions and Pacific Harbor Seals on Salmonids and on the Coastal Ecosystems of Washington  Oregon  and California. U.S. Dep. Commer.  NOAA Tech. Memo. NMFS-NWFSC-28  172 p. DATA: Gearin  P.  R. DeLong  and B. Ebberts. 1988a. Pinniped interactions with tribal steelhead and coho fisheries in Puget Sound. Unpubl. manuscr.  23 p. (Available from Alaska Fisheries Science Center  Natl. Mar. Fish. Serv  NOAA  7600 Sand Point Way NE  Seattle  WA 98115.),http://www.nwfsc.noaa.gov/publications/scipubs/techmemos/tm28/appf.htm,Appendix F Summary of food habit studies of California sea lions in Washington\ Oregon\ and California Since 1970. Prey species noted are those which occurred in more than 10percent of samples (except salmonids).,
32,California Sea Lion,M\ F,71,scat sample,Washington,Puget Sound (Shilshole Bay),D,1987,1987,2--5,Gearin et al. 1988a,scat\ spewings\otoliths\ bones,,,FO,25.0,,,,,National Marine Fisheries Service (NMFS). 1997. Investigation of Scientific Information on the Impacts of California Sea Lions and Pacific Harbor Seals on Salmonids and on the Coastal Ecosystems of Washington  Oregon  and California. U.S. Dep. Commer.  NOAA Tech. Memo. NMFS-NWFSC-28  172 p. DATA: Gearin  P.  R. DeLong  and B. Ebberts. 1988a. Pinniped interactions with tribal steelhead and coho fisheries in Puget Sound. Unpubl. manuscr.  23 p. (Available from Alaska Fisheries Science Center  Natl. Mar. Fish. Serv  NOAA  7600 Sand Point Way NE  Seattle  WA 98115.),http://www.nwfsc.noaa.gov/publications/scipubs/techmemos/tm28/appf.htm,Appendix F Summary of food habit studies of California sea lions in Washington\ Oregon\ and California Since 1970. Prey species noted are those which occurred in more than 10percent of samples (except salmonids).,
33,Harbor Seal,M\ F,61,gastrointestinal tract,Oregon,Columbia River,C,1991,1994,10--6,Brown et al. 1995,gastrointestinal tract,,,FO,12.0,,,,,National Marine Fisheries Service (NMFS). 1997. Investigation of Scientific Information on the Impacts of California Sea Lions and Pacific Harbor Seals on Salmonids and on the Coastal Ecosystems of Washington  Oregon  and California. U.S. Dep. Commer.  NOAA Tech. Memo. NMFS-NWFSC-28  172 p. DATA: Brown  R. F.  S. Riemer  and S.J. Jeffries. 1995. Food of pinnipeds collected during the Columbia River area salmon gillnet feeding event program  1991_1994. Oregon Dept. of Fish and Wildlife  Wildlife Diversity Program  Technical Report #95_6_01  16 p. (Available from Oregon Department of Fish and Wildlife  2501 SW First  Portland  OR 97201.),http://www.nwfsc.noaa.gov/publications/scipubs/techmemos/tm28/appg.htm,Appendix G Summary of Food Habit Studies of Pacific Harbor Seals in Washington\ Oregon\ and California Since 1970. Prey species noted are those which occurred in more than 10percent of samples (except salmonids).,
33,Harbor Seal,M\ F,10,gastrointestinal tract,Washington,South coast (Grays Harbor),C,1991,1993,summer\fall,Brown et al. 1995,gastrointestinal tract,,,FO,50.0,,,,,National Marine Fisheries Service (NMFS). 1997. Investigation of Scientific Information on the Impacts of California Sea Lions and Pacific Harbor Seals on Salmonids and on the Coastal Ecosystems of Washington  Oregon  and California. U.S. Dep. Commer.  NOAA Tech. Memo. NMFS-NWFSC-28  172 p. DATA: Brown  R. F.  S. Riemer  and S.J. Jeffries. 1995. Food of pinnipeds collected during the Columbia River area salmon gillnet feeding event program  1991_1994. Oregon Dept. of Fish and Wildlife  Wildlife Diversity Program  Technical Report #95_6_01  16 p. (Available from Oregon Department of Fish and Wildlife  2501 SW First  Portland  OR 97201.),http://www.nwfsc.noaa.gov/publications/scipubs/techmemos/tm28/appg.htm,Appendix G Summary of Food Habit Studies of Pacific Harbor Seals in Washington\ Oregon\ and California Since 1970. Prey species noted are those which occurred in more than 10percent of samples (except salmonids).,
